sig,L
1.14335,39.73218
1.27889,39.59332
1.28314,39.81991
1.29677,40.14472
1.2968,40.17682
1.30919,40.47142
1.3185,40.49036
1.34042,39.75985
1.34977,40.25456
1.36905,40.15084
1.37783,40.89287
1.39034,40.02826
1.39295,40.23218
1.39678,40.00564
1.39858,40.63246
1.40601,40.37575
1.40804,40.81755
1.40993,40.25116
1.42043,40.68358
1.42445,40.23993
1.42712,40.50237
1.43217,40.71763
1.4345,40.62325
1.43456,40.25698
1.44149,40.32688
1.44185,40.27591
1.44663,40.20986
1.44756,41.20105
1.45046,40.84236
1.45416,40.48744
1.46423,41.32199
1.46515,40.57813
1.46599,40.61967
1.47827,40.36676
1.48092,40.17232
1.48438,40.84446
1.49154,41.16357
1.49425,40.60852
1.49603,39.93264
1.52865,41.12793
1.53002,40.86174
1.53272,40.72771
1.53385,41.06755
1.53502,41.02791
1.53706,40.19532
1.53794,40.26896
1.54106,41.01284
1.54527,41.19412
1.54923,41.11485
1.56068,41.26596
1.56104,41.2131
1.56237,41.34149
1.56406,41.85314
1.56727,40.97714
1.56747,40.75625
1.56813,41.0319
1.56978,41.06778
1.57189,40.73173
1.57474,41.19242
1.57724,41.27361
1.57886,40.41837
1.58853,40.82057
1.58956,41.48892
1.59176,41.25294
1.59369,41.15477
1.59415,41.21708
1.59918,40.98867
1.60368,40.61676
1.61096,41.0586
1.61264,41.13035
1.61606,40.9057
1.62683,41.19274
1.62853,41.28338
1.63159,40.67358
1.63873,41.39483
1.64095,41.61196
1.64822,41.61578
1.64978,41.54783
1.65466,41.58939
1.66106,41.52713
1.66209,41.75747
1.66557,41.60268
1.66566,41.26473
1.68337,41.633
1.68507,40.86649
1.69003,41.84449
1.69072,41.2951
1.70179,41.47264
1.70851,41.74266
1.70873,41.55575
1.70984,41.44625
1.71049,41.70869
1.72766,41.93158
1.74038,41.71454
1.74102,41.1085
1.7482,41.87507
1.74989,41.95249
1.75162,41.64853
1.75971,41.65991
1.76871,41.79213
1.77683,41.8356
1.78437,41.69971
1.78949,41.98861
1.79418,41.81872
1.79452,41.75264
