region,sig,L,C
'604',17.8,38.75,0.05
'595',18.5,38.16,0.05
'588',13.7,37.81,0.05
'IC 131',15.5,37.65,0.05
'2403-I',18.0, 39.19,0.1
'2403-II',19.8, 39.18,0.1
'2403-III', 15.6, 39.31,0.1
'2403-IV', 15.3, 38.99,0.1
'2366-I', 16.3, 39.38,0.08
'4236-I', 16.8, 38.61,0.01
'6822-I', 9.8, 37.57, 0.43
'6822-III', 9.3,37.61, 0.43
'5471', 19.3, 39.59,0
'5462', 20.0, 39.19,0
'5455', 23.9, 39.29,0
'5461', 19.0, 39.67,0
'SMC-I', 10.7, 38.2,0.03
'LMC-I', 17.7, 39.16,0.13
'IIZw40', 31, 40,1
'To1924', 30, 41.2,0.05
'5253', 21.1, 39.9,0.05
'IIZw70', 25, 39.9,0.03

