pc,S
0.006866433,2.22
0.011556006,4.13
0.015851128,5.35
0.020319475,6.58
0.02546014,7.69
0.029807876,8.32
0.034117346,8.76
0.038155705,8.33
0.0427104,9
0.047808794,9.73
0.052318577,10.25
0.057243485,10.52
0.06120885,9.99
0.065460657,9.74
0.073222167,9.5
0.080114795,9.75
0.087687733,10.54
0.098137505,11.1
0.10737549,11.4
0.120171458,12
0.134516478,12.98
0.157487368,14.03
0.180256086,14.78
0.20635364,15.98
0.225697273,15.58
0.252276382,13.7
0.269703612,12.69
0.295462794,15.6
0.308640555,13.03
0.329192069,8.63
0.333655423,2.38
