pc,S
0.006811173,17.43
0.011463004,32.42
0.01571227,37.89
0.020591279,44.27
0.025214458,47.87
0.02950964,49.16
0.034536489,50.48
0.037801088,54.56
0.042305854,57.47
0.048404831,57.51
0.051795115,60.56
0.056660573,60.59
0.060607321,60.61
0.066276761,57.59
0.070880605,56.14
0.079327467,59.14
0.088828783,67.3
0.099378838,67.34
0.111221843,70.94
0.121647802,69.16
0.139160034,67.44
0.159250481,69.25
0.182143228,65.81
0.208214682,57.9
0.233027686,60.99
0.260516832,55.05
0.291719804,62.65
0.3115919,51
0.339091401,24.18
