pc,S
1.42,2.14
2.85,6.38
4.26,11.98
5.6,18.42
7.02,24.83
8.36,30.3
9.72,35.77
11.3,40.85
12.49,43.67
13.81,46.68
15.27,49.9
16.88,53.34
18.2,55.15
19.62,57.03
20.63,58.97
22.25,63.02
23.99,65.17
25.22,69.63
26.52,71.99
27.88,74.43
29.31,79.54
30.82,82.23
33.23,87.88
34.93,93.91
36.73,97.09
37.66,100.36
40.6,107.26
43.77,114.63
48.39,122.54
53.5,130.98
60.66,140.04
63.79,140.09
67.08,140.14
70.54,140.19
76.07,140.26
80.01,135.76
86.3,131.43
90.77,127.21
100.41,119.18
105.62,111.62
113.95,101.16
122.94,91.68
132.64,83.09
143.13,72.87
