pc,S
16.386,47.513
22.948,64.55
29.592,74.24
36.001,84.32
42.477,93.35
49.05,107.44
55.787,113.75
61.906,125.99
68.285,130.02
75.093,131.62
81.569,137.6
88.07,135.77
94.217,134.83
101.401,144.65
107.807,150.28
114.271,153.14
120.748,159.11
127.208,160.08
133.61,159
140.33,157.92
147.39,153.86
152.91,154.81
159.14,147.95
166.64,144.14
173.96,138.64
179.95,129.97
185.57,121.84
191.37,113.49
198.56,109.16
205.38,107.74
211.77,107.72
217.7,105.64
232.18,106.27
238.63,120.07
242.28,132.23
252.09,143.72
256.76,149.36
263.92,156.21
275.44,177.62
276.34,159.21
283.09,200.68
292.85,181
