pc,S
16.752,0.21311
23.355,0.41398
30.087,0.59513
36.811,0.79465
43.182,0.9676
50.187,1.1355
56.439,1.3002
63.181,1.4348
70.071,1.545
76.623,1.6432
82.998,1.7692
89.923,1.8025
96.508,1.8477
102.112,1.9291
109.58,2.0391
116.73,2.1906
123.67,2.3343
136.78,2.5366
143.31,2.6571
149.89,2.6835
156.48,2.7167
163.37,2.7104
169.58,2.7979
176.06,2.7845
183.16,2.6524
190.19,2.502
196.38,2.3774
202.41,2.2316
208.22,2.1101
215.83,1.9568
221.16,1.9332
229.61,1.91
237.03,1.9148
242.3,2.163
249.63,2.2492
256.16,2.4736
262.89,2.6549
269.26,2.9269
274.77,3.1645
282.55,3.3066
290.53,3.5145
295.93,3.7721
