pc,S
16.637,7.443
23.149,14.497
29.857,20.738
36.392,27.548
43.526,33.981
50.131,39.408
56.133,45.701
62.847,50.445
70.358,53.657
77.303,57.783
83.352,62.226
89.861,62.226
95.979,64.574
102.515,67.843
109.498,71.278
116.964,77.712
123.762,81.646
135.981,89.016
142.538,93.523
149.4,94.684
156.588,94.684
162.587,94.684
168.828,98.257
176.942,95.861
181.988,92.375
188.941,87.924
196.159,83.687
201.738,77.712
209.44,73.06
213.382,67.843
223.648,67.843
236.616,67.011
241.166,75.817
248.081,78.677
255.227,86.845
262.565,93.523
267.594,101.965
275.288,109.805
283.189,115.364
291.324,122.71
294.119,132.145
