pc,S
16.632,0.46265
23.329,0.8351
29.828,1.184
36.271,1.5263
43.299,1.8377
49.707,2.1021
56.435,2.3124
62.776,2.4644
69.573,2.5756
76.111,2.6141
82.951,2.6662
89.422,2.5275
96.573,2.4314
102.736,2.3907
110.53,2.3393
117.13,2.3741
125.07,2.3457
134.04,2.3348
142.87,2.2789
149.45,2.2189
154.58,2.1816
161.99,2.1766
171.68,2.1558
176.96,2.004
183.45,1.7917
189.83,1.5979
196.06,1.4217
203.63,1.2866
210.3,1.1644
216.3,1.1476
223.38,1.0462
230.68,0.9678
237.27,0.9561
243.63,0.9019
259.22,0.8446
268.1,0.8509
269.92,1.0141
277.52,1.0991
283.15,1.2506
289.88,1.5311
295.73,1.7852
