pc,S
16.41,43.96
23.06,60.86
29.69,75.27
36.41,87.44
42.94,96.62
49.68,109.48
56.92,117.98
62.73,125.58
69.8,128.7
76.18,127.03
83.14,130.21
89.86,130.15
96.19,135.11
101.96,143.83
110.2,147.44
116.82,155
123.83,156.91
129.99,162.9
136.46,167.01
143.26,162.82
150.39,156.74
156.35,152.82
168.98,147.09
177.4,139.84
184.43,134.63
189.88,128
197.41,123.23
205.23,120.14
211.3,114.23
219.67,103.27
226.17,95.74
237.43,83.35
244.45,85.46
251.68,88.73
259.12,96.88
264.2,100.6
266.78,105.79
277.36,111.22
