pc,S
16.33,8.88
22.94,13
29.32,16.62
36.09,20.73
42.77,23.72
49.27,27.15
55.71,29.95
62.39,32.24
68.56,33.86
76.06,33.85
82.8,35.55
89.29,34.68
95.39,35.1
101.91,34.67
109.9,36.86
115.21,40.17
121.92,43.25
127.81,45.99
135.25,49.51
141.79,53.3
148.64,56.67
154.36,61.01
160.29,65.68
168.04,69.85
176.16,76.12
179.51,77.06
188.19,78.01
193.59,78.97
201.04,77.99
204.87,77.04
214.77,70.67
220.93,76.08
227.28,71.53
233.8,71.52
240.52,78.92
247.42,73.3
261.84,77.94
274.49,86
282.37,93.73
285.05,106.01
293.23,121.38
