pc,S
1.17888,0.05489
3.5212,0.21922
5.8948,0.4852
8.2748,0.7392
10.5861,0.961
13.032,1.1485
15.341,1.2504
17.658,1.3237
20.067,1.4141
22.371,1.4554
24.781,1.5691
27.102,1.6758
29.547,1.8233
31.803,1.9653
34.231,2.0793
36.375,2.1996
39.027,2.3056
41.075,2.3718
43.648,2.4401
45.938,2.4639
48.195,2.5111
50.562,2.5592
53.383,2.4669
55.294,2.5139
57.823,2.4456
60.082,2.3791
62.629,2.3144
65.285,2.2725
67.403,2.2313
69.814,2.1908
72.079,2.1311
74.417,2.0538
76.344,2.0352
79.075,2.0169
81.383,2.0363
83.758,2.0367
86.205,2.1341
88.725,2.2362
91.028,2.3871
93.09,2.478
96.117,2.5725
98.294,2.6458
100.52,2.7211
103.457,2.8248
105.8,2.9053
108.196,2.988
113.52,3.311
117.216,3.6009
