x,Curve1
-0.99026,-0.45399
-0.91923,-0.08588
-0.73402,-0.21683
-0.68293,-0.40831
-0.63585,-0.30965
-0.63466,-0.14584
-0.58085,-0.03358
-0.30998,-0.10369
-0.28405,0.02242
-0.19915,-0.11127
-0.15644,-0.19688
-0.1307,-0.05713
-0.09126,-0.15637
-0.07239,-0.01998
0.0246,-0.02747
0.05811,-0.19835
0.10535,0.38836
0.16469,0.10126
0.21968,0.12819
0.29046,0.26423
0.34165,0.06593
0.3536,0.20236
0.38976,0.08949
0.51184,0.26954
0.5119,0.51528
0.51538,0.01355
0.68089,0.30593
0.73644,0.2919
0.7389,0.11441
0.74166,0.41473
0.88909,0.26356
0.89416,0.39663
0.93806,0.47483
0.94295,0.62155
1.04339,0.36489
1.09004,0.49427
1.22614,0.41143
1.22818,0.5138
1.29463,0.21301
1.44344,0.46114
1.44647,0.24269
1.59368,0.60687
1.74139,0.68436
1.81796,0.90227
1.85535,0.70065
2.15167,0.54163
