x,S
6.216,0.87267
8.6126,1.10704
11.122,1.28899
13.7979,1.7401
16.201,1.8333
18.7062,1.8328
21.167,1.9311
23.57,2.1546
26.251,2.4856
28.745,2.6316
31.084,2.6947
33.758,2.853
36.205,2.9215
39.988,3.2909
45.059,3.4181
49.956,3.6709
55.13,3.6528
60.124,3.9044
65.307,4.2336
69.785,4.6346
75.467,4.7913
79.632,5.0249
85.453,5.6068
90.495,5.448
95.837,5.319
99.844,5.2181
105.373,5.6314
114.429,5.8775
121.176,5.6839
128.882,5.7104
136.012,6.1041
143.554,6.6507
151.518,7.2809
159.91,7.8576
167.423,8.7679
173.043,8.979
180.85,7.6341
187.321,5.7886
194.51,3.4414
