pc,S
6.3241,3.5579
8.9063,4.9617
11.4756,5.9685
14.064,8.023
16.468,8.8606
19.224,10.4157
21.781,11.398
24.051,12.196
27.134,12.482
29.533,13.595
32.111,13.244
34.801,13.491
37.025,13.378
41.155,13.27
45.9,12.759
51.578,12.545
55.684,12.496
60.771,12.284
66.304,11.704
71.07,11.815
77.575,11.823
81.364,12.148
87.217,12.318
91.811,12.657
97.031,13.478
102.114,13.423
108.162,12.229
116.201,10.609
123.528,9.6224
130.892,9.1253
138.41,10.343
145.89,12.203
153.09,13.227
160.64,14.338
169.1,14.667
176.13,15.686
183.72,19.698
191.49,22.624
202.05,45.172
