x,S
16.481,10.869
23.262,16.874
29.752,21.17
36.339,27.599
43.036,30.232
49.731,35.088
56.587,37.209
62.633,40.481
69.539,45.778
75.789,44.635
83.11,44.087
89.473,43.261
96.323,42.178
102.745,41.386
109.938,43.872
116.553,44.743
123.186,45.925
129.8,49.311
136.35,52.946
142.79,55.046
149.99,55.775
155.64,61.842
162,69.91
170.17,76.03
176.04,83.23
188.36,83.79
195.42,76.59
198.44,69.99
209.07,64.8
220.29,64.82
227.85,58.484
233.54,63.6
243.82,66.98
249.13,71.91
256.93,79.21
260.92,85.59
269.1,102.52
281.8,104.54
288.85,122.83
296.07,144.3
