x,S
16.332,0.66596
22.818,0.9214
29.632,1.1306
36.186,1.3398
42.685,1.473
49.02,1.6688
56.506,1.7984
62.441,1.9093
69.26,1.9475
76.526,1.9277
82.319,1.9961
89.226,1.9759
96.352,2.0666
99.747,2.1834
108.12,2.2383
114.1,2.3648
129.01,2.3879
135.09,2.3997
155.7,2.375
168.1,2.225
174.67,2.1162
182.89,2.0329
190.76,1.953
195.19,1.8668
202.82,1.8297
209.11,1.6972
229.22,1.403
234.51,1.2629
241.83,1.2819
247.47,1.3143
253.28,1.4527
259.2,1.5272
262.23,1.6298
272.51,1.7048
279.99,1.9223
287.63,2.0107
293.24,2.1783
