x,S-1
16.471,1.1205
23.241,1.4466
29.869,1.6931
36.161,1.8499
42.977,1.8872
50.136,1.8603
56.55,1.7892
63.061,1.7722
70.062,1.7382
76.083,1.808
83.248,1.8623
90.771,1.8175
96.03,1.8267
104.66,1.9472
110.68,2.1165
117.51,2.2231
124.78,2.2453
131.51,2.2788
137.57,2.2902
146.09,2.313
153.95,2.3823
160.44,2.406
172.3,2.4181
181.62,2.3948
187.86,2.395
195.82,2.3145
208.88,1.9984
217.83,1.7595
232.22,1.7088
242.91,1.7428
250.26,1.8215
256.86,1.9224
263.58,2.1309
279.11,1.7605
291.09,1.5274
299.12,1.2619
