x,Curve1
0.0023854,0.023542
0.0035184,0.054197
0.0046802,0.09473
0.0058365,0.1378
0.0070934,0.18428
0.008079,0.2231
0.009445,0.2701
0.010413,0.30759
0.011556,0.35298
0.01266,0.38987
0.013782,0.41128
0.014805,0.44737
0.016012,0.47195
0.017091,0.50171
0.018242,0.54157
0.019858,0.57571
0.021333,0.62622
0.022472,0.676
0.024143,0.7241
0.026283,0.7639
0.029178,0.8183
0.032813,0.9107
0.037145,1.0058
0.041776,1.1024
0.04698,1.2269
0.052844,1.3142
0.061819,1.4294
0.070914,1.5428
0.08135,1.6525
0.09272,1.7299
0.11137,1.8247
0.1312,1.8524
0.15658,1.9096
0.18204,1.9536
0.20616,1.9986
