x,Curve1
0.003459,0.021163
0.0045593,0.037852
0.0057027,0.055332
0.0067223,0.07509
0.008085,0.09243
0.009102,0.10967
0.010315,0.13307
0.011386,0.15212
0.012404,0.17005
0.013694,0.18583
0.01482,0.21089
0.015935,0.22206
0.01702,0.24278
0.017941,0.26348
0.01929,0.28588
0.020333,0.31026
0.021718,0.33666
0.023351,0.35985
0.025948,0.4052
0.028456,0.44954
0.031413,0.50245
0.034907,0.56577
0.037777,0.63251
0.042818,0.7174
0.048213,0.8077
0.053577,0.8893
0.058755,0.994
0.064863,1.0863
0.074006,1.232
0.08225,1.3065
0.092,1.4491
0.10223,1.6318
0.11821,1.7426
0.13758,1.9612
0.15802,2.1262
0.18154,2.1548
0.21275,2.1029
