x,Curve1
0.002666,0.028911
0.0040314,0.060659
0.0053785,0.1027
0.0066514,0.14682
0.0079215,0.18788
0.009232,0.22822
0.010529,0.26315
0.011877,0.30148
0.013321,0.35459
0.014465,0.3782
0.015616,0.41683
0.016955,0.45045
0.018616,0.48039
0.020434,0.52935
0.022677,0.58707
0.024891,0.6469
0.028712,0.72656
0.03257,0.8269
0.037172,0.8873
0.041946,0.9774
0.047855,1.0908
0.055514,1.2091
0.064039,1.3491
0.072278,1.4572
0.081592,1.5435
0.09312,1.6562
0.10989,1.7419
0.12754,1.8323
0.14641,1.9027
0.16172,1.9382
0.18365,1.9738
0.19405,2.0248
0.21786,2.1308
0.24072,2.1007
