filename,object,date_obs,mjd_obs,instrument,telescope,arcfile,prog_id,pro_catg,dpr_catg,dpr_type,dpr_tech,ra_deg,dec_deg
ADP.2015-07-21T08_02_25.090.fits,pos098,2003-12-03T09:05:37.450,52976.37890567,GIRAFFE,ESO-VLT-U2,ADP.2015-07-21T08:02:25.090.fits,072.C-0348(A),SCIENCE_RBNSPEC_IDP,,,,84.8219583333319,-69.0285555555544
ADP.2015-07-21T08_02_25.867.fits,pos103,2003-12-03T09:05:37.450,52976.37890567,GIRAFFE,ESO-VLT-U2,ADP.2015-07-21T08:02:25.867.fits,072.C-0348(A),SCIENCE_RBNSPEC_IDP,,,,84.7196249999986,-69.20511111111
ADP.2015-07-21T08_02_26.550.fits,pos082,2003-12-03T09:05:37.450,52976.37890567,GIRAFFE,ESO-VLT-U2,ADP.2015-07-21T08:02:26.550.fits,072.C-0348(A),SCIENCE_RBNSPEC_IDP,,,,84.6552916666652,-69.0602499999988
ADP.2015-07-21T08_02_26.837.fits,pos045,2003-12-03T09:05:37.450,52976.37890567,GIRAFFE,ESO-VLT-U2,ADP.2015-07-21T08:02:26.837.fits,072.C-0348(A),SCIENCE_RBNSPEC_IDP,,,,84.7667083333319,-69.1310555555544
ADP.2015-07-21T08_02_27.470.fits,pos006,2003-12-03T09:05:37.450,52976.37890567,GIRAFFE,ESO-VLT-U2,ADP.2015-07-21T08:02:27.470.fits,072.C-0348(A),SCIENCE_RBNSPEC_IDP,,,,84.7250416666652,-69.0923888888877
ADP.2015-07-21T08_02_27.477.fits,pos107,2003-12-03T09:05:37.450,52976.37890567,GIRAFFE,ESO-VLT-U2,ADP.2015-07-21T08:02:27.477.fits,072.C-0348(A),SCIENCE_RBNSPEC_IDP,,,,84.4204583333319,-69.1164722222211
ADP.2015-07-21T08_02_27.590.fits,pos060,2003-12-03T09:05:37.450,52976.37890567,GIRAFFE,ESO-VLT-U2,ADP.2015-07-21T08:02:27.590.fits,072.C-0348(A),SCIENCE_RBNSPEC_IDP,,,,84.8504583333319,-69.1023888888877
ADP.2015-07-21T08_02_28.200.fits,pos104,2003-12-03T09:05:37.450,52976.37890567,GIRAFFE,ESO-VLT-U2,ADP.2015-07-21T08:02:28.200.fits,072.C-0348(A),SCIENCE_RBNSPEC_IDP,,,,84.8959583333319,-69.0839166666655
ADP.2015-07-21T08_02_29.397.fits,pos096,2003-12-03T09:05:37.450,52976.37890567,GIRAFFE,ESO-VLT-U2,ADP.2015-07-21T08:02:29.397.fits,072.C-0348(A),SCIENCE_RBNSPEC_IDP,,,,84.4287499999986,-69.1796666666655
ADP.2015-07-21T08_02_29.683.fits,pos109,2003-12-03T09:05:37.450,52976.37890567,GIRAFFE,ESO-VLT-U2,ADP.2015-07-21T08:02:29.683.fits,072.C-0348(A),SCIENCE_RBNSPEC_IDP,,,,84.3635416666652,-69.1124722222211
