label,ring,angle_deg,ra_deg,dec_deg,radius_arcsec
C0,center,,84.675,-69.1,413.0
I1,inner,0.0,84.675,-68.87055555555555,413.0
I2,inner,45.0,85.1264378029564,-68.93716138661414,413.0
I3,inner,90.0,85.31814997110958,-69.09879695321894,413.0
I4,inner,135.0,85.13318272318574,-69.26163547667998,413.0
I5,inner,180.0,84.675,-69.32944444444445,413.0
I6,inner,225.0,84.21681727681425,-69.26163547667998,413.0
I7,inner,270.0,84.03185002889042,-69.09879695321894,413.0
I8,inner,315.0,84.22356219704359,-68.93716138661414,413.0
O1,outer,0.0,84.675,-68.64111111111112,413.0
O2,outer,22.5,85.15790500488853,-68.67535124557965,413.0
O3,outer,45.0,85.57123786898818,-68.77314737225528,413.0
O4,outer,67.5,85.85382561742954,-68.92031792544415,413.0
O5,outer,90.0,85.9611585247972,-69.09518822897681,413.0
O6,outer,112.5,85.87289692026005,-69.27146714854769,413.0
O7,outer,135.0,85.59821776436134,-69.42203941808755,413.0
O8,outer,180.0,84.675,-69.55888888888889,413.0
O9,outer,202.5,84.17301095833393,-69.52323869974795,413.0
O10,outer,225.0,83.75178223563866,-69.42203941808755,413.0
O11,outer,247.5,83.47710307973996,-69.27146714854769,413.0
O12,outer,270.0,83.38884147520281,-69.09518822897681,413.0
O13,outer,292.5,83.49617438257046,-68.92031792544415,413.0
O14,outer,315.0,83.77876213101183,-68.77314737225528,413.0
O15,outer,337.5,84.19209499511147,-68.67535124557965,413.0
