label,ring,angle_deg,ra_deg,dec_deg,radius_arcsec
C0,center,,84.675,-69.1,413.0
I1,inner,0.0,84.675,-68.87055555555555,413.0
I2,inner,45.0,85.1264378029564,-68.93716138661414,413.0
I3,inner,90.0,85.31814997110958,-69.09879695321894,413.0
I4,inner,135.0,85.13318272318574,-69.26163547667998,413.0
I5,inner,180.0,84.675,-69.32944444444445,413.0
I6,inner,225.0,84.21681727681425,-69.26163547667998,413.0
I7,inner,270.0,84.03185002889042,-69.09879695321894,413.0
I8,inner,315.0,84.22356219704359,-68.93716138661414,413.0
M1,middle,0.0,84.675,-68.64111111111112,413.0
M2,middle,22.5,85.15790500488853,-68.67535124557965,413.0
M3,middle,45.0,85.57123786898818,-68.77314737225528,413.0
M4,middle,67.5,85.85382561742954,-68.92031792544415,413.0
M5,middle,90.0,85.9611585247972,-69.09518822897681,413.0
M6,middle,112.5,85.87289692026005,-69.27146714854769,413.0
M7,middle,135.0,85.59821776436134,-69.42203941808755,413.0
M8,middle,180.0,84.675,-69.55888888888889,413.0
M9,middle,202.5,84.17301095833393,-69.52323869974795,413.0
M10,middle,225.0,83.75178223563866,-69.42203941808755,413.0
M11,middle,247.5,83.47710307973996,-69.27146714854769,413.0
M12,middle,270.0,83.38884147520281,-69.09518822897681,413.0
M13,middle,292.5,83.49617438257046,-68.92031792544415,413.0
M14,middle,315.0,83.77876213101183,-68.77314737225528,413.0
M15,middle,337.5,84.19209499511147,-68.67535124557965,413.0
O1,outer,0.0,84.675,-68.41166666666666,413.0
O2,outer,15.0,85.15967930821463,-68.43441814778524,413.0
O3,outer,30.0,85.6141317188215,-68.50125426886515,413.0
O4,outer,45.0,86.0095070341842,-68.6079850396289,413.0
O5,outer,60.0,86.31976129778936,-68.74784582085321,413.0
O6,outer,75.0,86.52316732672762,-68.91183172436124,413.0
O7,outer,90.0,86.60388443918364,-69.08917507485869,413.0
O8,outer,105.0,86.55349222450918,-69.26796687165994,413.0
O9,outer,120.0,86.37230595736793,-69.4359113331963,413.0
O10,outer,180.0,84.675,-69.78833333333333,413.0
O11,outer,195.0,84.15993996362704,-69.76412976505215,413.0
O12,outer,210.0,83.68326779128599,-69.69332780423467,413.0
O13,outer,225.0,83.27978740825904,-69.58118275352051,413.0
O14,outer,240.0,82.97769404263208,-69.4359113331963,413.0
O15,outer,255.0,82.79650777549081,-69.26796687165994,413.0
O16,outer,270.0,82.74611556081635,-69.08917507485869,413.0
O17,outer,285.0,82.82683267327239,-68.91183172436124,413.0
O18,outer,300.0,83.03023870221065,-68.74784582085321,413.0
O19,outer,315.0,83.3404929658158,-68.6079850396289,413.0
O20,outer,330.0,83.73586828117851,-68.50125426886515,413.0
O21,outer,345.0,84.19032069178536,-68.43441814778524,413.0
