label,ring,angle_deg,ra_deg,dec_deg,radius_arcsec
A,A,,84.675,-69.1,619.5
B1,B,0.0,84.675,-68.75583333333333,619.5
B2,B,51.42857142857143,85.42192065730309,-68.88377785970538,619.5
B3,B,102.85714285714286,85.61880166527709,-69.17400207204423,619.5
B4,B,154.28571428571428,85.09960905963752,-69.4095661772462,619.5
B5,B,205.71428571428572,84.25039094036248,-69.4095661772462,619.5
B6,B,257.14285714285717,83.7311983347229,-69.17400207204423,619.5
B7,B,308.57142857142856,83.92807934269692,-68.88377785970538,619.5
C1,C,0.0,84.675,-68.41166666666666,619.5
C2,C,27.692307692307693,85.54736410623383,-68.48823915650168,619.5
C3,C,55.38461538461539,86.23477128798619,-68.70178458064152,619.5
C4,C,83.07692307692308,86.5826022801884,-69.00640512704261,619.5
C5,C,110.76923076923077,86.49895973450374,-69.33451033606923,619.5
C8,C,193.84615384615387,84.1986730710374,-69.76769098273658,619.5
C9,C,221.53846153846155,83.36479758958734,-69.61034364418373,619.5
C10,C,249.23076923076923,82.85104026549625,-69.33451033606923,619.5
C11,C,276.9230769230769,82.7673977198116,-69.00640512704261,619.5
C12,C,304.61538461538464,83.11522871201382,-68.70178458064152,619.5
C13,C,332.3076923076923,83.80263589376618,-68.48823915650168,619.5
