label,ring,angle_deg,ra_deg,dec_deg,radius_arcsec
A,A,,84.675,-69.1,206.5
B1,B,0.0,84.675,-68.98527777777778,206.5
B2,B,51.42857142857143,84.92560610392611,-69.02828864427795,206.5
B3,B,102.85714285714286,84.9888874417615,-69.1252418702527,206.5
B4,B,154.28571428571428,84.8151934811899,-69.20330424731559,206.5
B5,B,205.71428571428572,84.53480651881011,-69.20330424731559,206.5
B6,B,257.14285714285717,84.36111255823849,-69.1252418702527,206.5
B7,B,308.57142857142856,84.42439389607388,-69.02828864427795,206.5
C1,C,0.0,84.675,-68.87055555555555,206.5
C2,C,27.692307692307693,84.97114664447045,-68.89657971463517,206.5
C3,C,55.38461538461539,85.20117483316052,-68.96885092405442,206.5
C4,C,83.07692307692308,85.31265510317462,-69.07115952956667,206.5
C5,C,110.76923076923077,85.2786033173799,-69.18030623021302,206.5
C6,C,138.46153846153845,85.10487155173674,-69.27120821605332,206.5
C7,C,166.15384615384616,84.83050534110033,-69.32270755953336,206.5
C8,C,193.84615384615387,84.51949465889967,-69.32270755953336,206.5
C9,C,221.53846153846155,84.24512844826327,-69.27120821605332,206.5
C10,C,249.23076923076923,84.07139668262009,-69.18030623021302,206.5
C11,C,276.9230769230769,84.03734489682537,-69.07115952956667,206.5
C12,C,304.61538461538464,84.14882516683947,-68.96885092405442,206.5
C13,C,332.3076923076923,84.37885335552956,-68.89657971463517,206.5
D1,D,0.0,84.675,-68.75583333333333,206.5
D2,D,18.94736842105263,84.98366550567276,-68.77420022742372,206.5
D3,D,37.89473684210526,85.26028901579244,-68.82739607764759,206.5
D4,D,56.84210526315789,85.47573278871397,-68.90987857467174,206.5
D5,D,75.78947368421052,85.60657037343933,-69.01297868543158,206.5
D6,D,94.73684210526315,85.63763675225103,-69.12572909111596,206.5
D7,D,113.68421052631578,85.56405935260393,-69.23596501464117,206.5
D8,D,132.6315789473684,85.39241199504688,-69.33161600531758,206.5
D9,D,151.57894736842104,85.14061213553845,-69.40206334208423,206.5
D10,D,170.52631578947367,84.83629852938928,-69.43939813465707,206.5
D11,D,189.4736842105263,84.51370147061073,-69.43939813465707,206.5
D12,D,208.42105263157893,84.20938786446155,-69.40206334208423,206.5
D13,D,227.36842105263156,83.95758800495311,-69.33161600531758,206.5
D14,D,246.3157894736842,83.78594064739606,-69.23596501464117,206.5
D15,D,265.2631578947368,83.71236324774898,-69.12572909111596,206.5
D16,D,284.2105263157895,83.74342962656067,-69.01297868543158,206.5
D17,D,303.1578947368421,83.87426721128602,-68.90987857467174,206.5
D18,D,322.1052631578947,84.08971098420757,-68.82739607764759,206.5
D19,D,341.05263157894734,84.36633449432725,-68.77420022742372,206.5
E1,E,0.0,84.675,-68.64111111111112,206.5
E2,E,13.846153846153847,84.9767026352257,-68.65417574113899,206.5
E3,E,27.692307692307693,85.26188762297097,-68.69265463980747,206.5
E4,E,41.53846153846154,85.5147789802806,-68.75443497779774,206.5
E5,E,55.38461538461539,85.72108408561246,-68.83610246499526,206.5
E6,E,69.23076923076923,85.86872865808256,-68.93310152825603,206.5
E7,E,83.07692307692308,85.94856537340254,-69.03995772310482,206.5
E8,E,96.92307692307693,85.95501912791131,-69.1505584738159,206.5
E9,E,110.76923076923077,85.88661332044401,-69.2584844060139,206.5
E10,E,124.61538461538461,85.74630650486974,-69.35737822894895,206.5
E14,E,180.0,84.675,-69.55888888888889,206.5
E15,E,193.84615384615387,84.3607539393815,-69.54527278864956,206.5
E16,E,207.6923076923077,84.06590240308448,-69.50526601199216,206.5
E17,E,221.53846153846155,83.80843631432862,-69.44133182826769,206.5
E18,E,235.3846153846154,83.60369349513027,-69.35737822894895,206.5
E19,E,249.23076923076923,83.463386679556,-69.2584844060139,206.5
E20,E,263.0769230769231,83.39498087208868,-69.1505584738159,206.5
E21,E,276.9230769230769,83.40143462659745,-69.03995772310482,206.5
E22,E,290.7692307692308,83.48127134191743,-68.93310152825603,206.5
E23,E,304.61538461538464,83.62891591438753,-68.83610246499526,206.5
E24,E,318.46153846153845,83.8352210197194,-68.75443497779774,206.5
E25,E,332.3076923076923,84.08811237702902,-68.69265463980747,206.5
E26,E,346.1538461538462,84.37329736477429,-68.65417574113899,206.5
F1,F,0.0,84.675,-68.52638888888889,206.5
F2,F,11.25,84.98083546997103,-68.53713199692609,206.5
F3,F,22.5,85.27577542961204,-68.56897856898988,206.5
F4,F,33.75,85.54922300685784,-68.62079089946042,206.5
F5,F,45.0,85.79118215390677,-68.69070807828795,206.5
F6,F,56.25,85.99256545071403,-68.77619918808871,206.5
F7,F,67.5,86.1455066607219,-68.87413821891487,206.5
F8,F,78.75,86.24367287106605,-68.98090076956186,206.5
F9,F,90.0,86.28256562529613,-69.0924820952474,206.5
F10,F,101.25,86.25979442055151,-69.2046351734057,206.5
F11,F,112.5,86.1753001576852,-69.31302615986694,206.5
F12,F,123.75,86.03150183875097,-69.41340293277965,206.5
F17,F,180.0,84.675,-69.67361111111111,206.5
F18,F,191.25,84.35302099721333,-69.662295221962,206.5
F19,F,202.5,84.0443999843129,-69.62881773073028,206.5
F20,F,213.75,83.76181862179189,-69.57456517482078,206.5
F21,F,225.0,83.51666151056271,-69.50177050496788,206.5
F22,F,236.25,83.31849816124902,-69.41340293277965,206.5
F23,F,247.5,83.17469984231481,-69.31302615986694,206.5
F24,F,258.75,83.09020557944848,-69.2046351734057,206.5
F25,F,270.0,83.06743437470388,-69.0924820952474,206.5
F26,F,281.25,83.10632712893396,-68.98090076956186,206.5
F27,F,292.5,83.2044933392781,-68.87413821891487,206.5
F28,F,303.75,83.35743454928598,-68.77619918808871,206.5
F29,F,315.0,83.55881784609323,-68.69070807828795,206.5
F30,F,326.25,83.80077699314216,-68.62079089946042,206.5
F31,F,337.5,84.07422457038797,-68.56897856898988,206.5
F32,F,348.75,84.36916453002898,-68.53713199692609,206.5
G1,G,0.0,84.675,-68.41166666666666,206.5
G2,G,9.473684210526315,84.98304138903609,-68.4207705448442,206.5
G3,G,18.94736842105263,85.28341596571615,-68.44785547271184,206.5
G4,G,28.421052631578945,85.56859409862298,-68.49224543291717,206.5
G5,G,37.89473684210526,85.83132288129947,-68.55282746281854,206.5
G6,G,47.368421052631575,86.06477001413634,-68.62807244603671,206.5
G7,G,56.84210526315789,86.26267321181481,-68.71606457180471,206.5
G8,G,66.3157894736842,86.41949512501591,-68.81453973392976,206.5
G9,G,75.78947368421052,86.53058215425105,-68.9209331008171,206.5
G10,G,85.26315789473684,86.59232354660693,-69.03243595344263,206.5
G11,G,94.73684210526315,86.60230490131649,-69.14606163708963,206.5
G12,G,104.21052631578947,86.55944785471817,-69.25872008864117,206.5
G13,G,113.68421052631578,86.46412556242451,-69.36729988007706,206.5
G14,G,123.1578947368421,86.31824204061823,-69.46875607614852,206.5
G15,G,132.6315789473684,86.1252629265754,-69.56020148220226,206.5
G20,G,180.0,84.675,-69.78833333333333,206.5
G21,G,189.4736842105263,84.34722772381907,-69.7786421623336,206.5
G22,G,198.9473684210526,84.02926662689453,-69.74985923958899,206.5
G23,G,208.42105263157893,83.73055570199456,-69.70284520832463,206.5
G24,G,217.89473684210526,83.4598137882209,-69.63899812929685,206.5
G25,G,227.36842105263156,83.22473707342459,-69.56020148220226,206.5
G26,G,236.84210526315786,83.03175795938176,-69.46875607614852,206.5
G27,G,246.3157894736842,82.8858744375755,-69.36729988007706,206.5
G28,G,255.78947368421052,82.79055214528184,-69.25872008864117,206.5
G29,G,265.2631578947368,82.74769509868352,-69.14606163708963,206.5
G30,G,274.7368421052631,82.75767645339307,-69.03243595344263,206.5
G31,G,284.2105263157895,82.81941784574896,-68.9209331008171,206.5
G32,G,293.6842105263158,82.93050487498408,-68.81453973392976,206.5
G33,G,303.1578947368421,83.08732678818518,-68.71606457180471,206.5
G34,G,312.6315789473684,83.28522998586367,-68.62807244603671,206.5
G35,G,322.1052631578947,83.51867711870054,-68.55282746281854,206.5
G36,G,331.57894736842104,83.78140590137703,-68.49224543291717,206.5
G37,G,341.05263157894734,84.06658403428385,-68.44785547271184,206.5
G38,G,350.52631578947364,84.3669586109639,-68.4207705448442,206.5
H1,H,0.0,84.675,-68.29694444444445,206.5
H2,H,8.181818181818182,84.98415146934109,-68.30483085784735,206.5
H3,H,16.363636363636363,85.2876502445183,-68.3283457475839,206.5
H4,H,24.545454545454547,85.57991272731299,-68.36705785993928,206.5
H5,H,32.72727272727273,85.8554948817336,-68.42025445998996,206.5
H6,H,40.90909090909091,86.10916532445177,-68.48695046260491,206.5
H7,H,49.09090909090909,86.33598205421582,-68.56590140608327,206.5
H8,H,57.27272727272727,86.53137346319257,-68.65562043930004,206.5
H9,H,65.45454545454545,86.69122375668083,-68.7543995125174,206.5
H10,H,73.63636363636364,86.81196223819978,-68.86033495625873,206.5
H11,H,81.81818181818181,86.89065509622218,-68.97135759386386,206.5
H12,H,90.0,86.92509737625097,-69.0852674533253,206.5
H13,H,98.18181818181819,86.91390178311812,-69.19977301536579,206.5
H14,H,106.36363636363636,86.8565799122065,-69.31253475253689,206.5
H15,H,114.54545454545455,86.75361057042785,-69.42121247801005,206.5
H16,H,122.72727272727272,86.60648916738211,-69.5235157391051,206.5
H17,H,130.9090909090909,86.41775190373319,-69.61725617468178,206.5
H18,H,139.0909090909091,86.19096882284454,-69.70040043244477,206.5
