group,bin,line,fit_limit,fit_limits_used,parameter,value,err_lower,err_upper,lower_limit,upper_limit,n_samples
MUSE,0,N,,"(0.5, 0.6, 0.7)",sig2,8.884250688604657,0.8128315616116364,0.6673531010415026,8.071419126993021,9.55160378964616,3
MUSE,0,N,,"(0.5, 0.6, 0.7)",r0,0.057953640157444856,0.008802408204840628,0.008064623526996072,0.04915123195260423,0.06601826368444093,3
MUSE,0,N,,"(0.5, 0.6, 0.7)",m,0.9065759858047766,0.04994611217216305,0.09183894974450402,0.8566298736326136,0.9984149355492806,3
MUSE,0,N,,"(0.5, 0.6, 0.7)",noise,3.982387704347101,0.08642246518613872,0.2650845535501998,3.8959652391609625,4.247472257897301,3
MUSE,0,N,,"(0.5, 0.6, 0.7)",s0,0.23500000156190953,1.5493143126059836e-09,0.7113342871675589,0.23500000001259522,0.9463342887294683,3
MUSE,0,S2,,"(0.5, 0.6, 0.7)",sig2,9.289287040646226,1.0123585274366231,0.7590636784130336,8.276928513209603,10.04835071905926,3
MUSE,0,S2,,"(0.5, 0.6, 0.7)",r0,0.06639306734771545,0.010810274271474414,0.008190421581734761,0.05558279307624104,0.07458348892945021,3
MUSE,0,S2,,"(0.5, 0.6, 0.7)",m,1.13500736119817,0.06242630163151275,0.1256510536526494,1.0725810595666572,1.2606584148508193,3
MUSE,0,S2,,"(0.5, 0.6, 0.7)",noise,3.2202050442204357,0.06334905636862453,0.20673403378124755,3.156855987851811,3.4269390780016833,3
MUSE,0,S2,,"(0.5, 0.6, 0.7)",s0,0.23500000021599385,2.0677934442914688e-10,1.4610502428114147,0.2350000000092145,1.6960502430274085,3
MUSE,0,Ar,,"(0.5, 0.6, 0.7)",sig2,8.19996633271816,0.7086510886687227,0.8558213036593241,7.491315244049438,9.055787636377485,3
MUSE,0,Ar,,"(0.5, 0.6, 0.7)",r0,0.06768895549851395,0.0091833862766897,0.009899884928139494,0.05850556922182425,0.07758884042665344,3
MUSE,0,Ar,,"(0.5, 0.6, 0.7)",m,1.137270354602342,0.1055521438988809,0.13859690683160197,1.031718210703461,1.275867261433944,3
MUSE,0,Ar,,"(0.5, 0.6, 0.7)",noise,10.834599513334366,0.1136617512415814,0.29120531981134157,10.720937762092785,11.125804833145708,3
MUSE,0,Ar,,"(0.5, 0.6, 0.7)",s0,0.23500000492411605,3.2521871936954445e-09,2.7171039749668915,0.23500000167192886,2.9521039798910076,3
MUSE,0,H,,"(0.5, 0.6, 0.7)",sig2,8.3452290566316,1.0896226863529783,0.938161108808977,7.255606370278622,9.283390165440577,3
MUSE,0,H,,"(0.5, 0.6, 0.7)",r0,0.06642391423361409,0.012532903711725267,0.011056693761073502,0.05389101052188882,0.07748060799468759,3
MUSE,0,H,,"(0.5, 0.6, 0.7)",m,1.1698793498490103,0.08324635732122676,0.15169357821620966,1.0866329925277836,1.32157292806522,3
MUSE,0,H,,"(0.5, 0.6, 0.7)",noise,2.641292683962179,0.07071197179458011,0.20047022808712844,2.5705807121675988,2.8417629120493073,3
MUSE,0,H,,"(0.5, 0.6, 0.7)",s0,0.2350000086042512,8.434093761241866e-09,1.7981368568893548,0.23500000017015743,2.033136865493606,3
MUSE,0,O,,"(0.5, 0.6, 0.7)",sig2,7.411871216253381,1.180909076337124,1.0489492118686972,6.230962139916257,8.460820428122078,3
MUSE,0,O,,"(0.5, 0.6, 0.7)",r0,0.06316946648208419,0.014868883834377497,0.012751863356663048,0.04830058264770669,0.07592132983874723,3
MUSE,0,O,,"(0.5, 0.6, 0.7)",m,1.1919664105747254,0.12284636535456728,0.26923307110763495,1.0691200452201581,1.4611994816823604,3
MUSE,0,O,,"(0.5, 0.6, 0.7)",noise,5.392609377418579,0.1273725505075065,0.3527030299274383,5.265236826911073,5.745312407346018,3
MUSE,0,O,,"(0.5, 0.6, 0.7)",s0,0.2350000435904116,4.339188144351391e-08,3.0070544474869063,0.23500000019853015,3.242054491077318,3
MUSE,1,N,,"(0.5, 0.6, 0.7)",sig2,8.863489502435739,0.7694011354576507,0.5737332224804899,8.094088366978088,9.437222724916229,3
MUSE,1,N,,"(0.5, 0.6, 0.7)",r0,0.05646537969461476,0.008135994270138454,0.006534369497559624,0.048329385424476304,0.06299974919217438,3
MUSE,1,N,,"(0.5, 0.6, 0.7)",m,0.9241612397536082,0.043456799129095836,0.07821110795350406,0.8807044406245124,1.0023723477071123,3
MUSE,1,N,,"(0.5, 0.6, 0.7)",noise,1.6261912303315162,0.1171716302703385,0.24308934316581654,1.5090196000611777,1.8692805734973328,3
MUSE,1,N,,"(0.5, 0.6, 0.7)",s0,0.4349649214078455,0.18512258498750858,0.7529230261612628,0.2498423364203369,1.1878879475691084,3
MUSE,1,S2,,"(0.5, 0.6, 0.7)",sig2,9.418386993151115,1.1210250532396255,0.7142641520951134,8.29736193991149,10.132651145246228,3
MUSE,1,S2,,"(0.5, 0.6, 0.7)",r0,0.06527274612271952,0.011332318833821207,0.0072715604538019785,0.053940427288898314,0.0725443065765215,3
MUSE,1,S2,,"(0.5, 0.6, 0.7)",m,1.1344321176242753,0.051020335892409285,0.12338402786663738,1.083411781731866,1.2578161454909127,3
MUSE,1,S2,,"(0.5, 0.6, 0.7)",noise,1.38903735067311,0.055659966885254875,0.22880435326902937,1.333377383787855,1.6178417039421393,3
MUSE,1,S2,,"(0.5, 0.6, 0.7)",s0,0.3016956855136768,0.05856759346207017,1.5971027359626508,0.24312809205160665,1.8987984214763276,3
MUSE,1,Ar,,"(0.5, 0.6, 0.7)",sig2,8.512689460755372,1.0384124070424665,0.7838219361685113,7.474277053712905,9.296511396923883,3
MUSE,1,Ar,,"(0.5, 0.6, 0.7)",r0,0.06183594591577244,0.011431224651579225,0.008028006586050913,0.050404721264193215,0.06986395250182335,3
MUSE,1,Ar,,"(0.5, 0.6, 0.7)",m,1.1491816949274432,0.08237365205543146,0.18365648348089025,1.0668080428720117,1.3328381784083334,3
MUSE,1,Ar,,"(0.5, 0.6, 0.7)",noise,4.168072580181332,0.09964818827690713,0.39428386223113954,4.068424391904425,4.562356442412471,3
MUSE,1,Ar,,"(0.5, 0.6, 0.7)",s0,0.2648323605579161,0.029832348405421667,2.9340883210572337,0.23500001215249441,3.19892068161515,3
MUSE,1,H,,"(0.5, 0.6, 0.7)",sig2,8.352843356037512,1.1016902416520367,0.7976499752695716,7.251153114385476,9.150493331307084,3
MUSE,1,H,,"(0.5, 0.6, 0.7)",r0,0.06607482664134517,0.012238340972635896,0.008897559508585631,0.05383648566870928,0.0749723861499308,3
MUSE,1,H,,"(0.5, 0.6, 0.7)",m,1.1836634020936831,0.06421265937108722,0.14031116941682553,1.119450742722596,1.3239745715105087,3
MUSE,1,H,,"(0.5, 0.6, 0.7)",noise,1.2469839722053428,0.05396202037481301,0.20231579265685928,1.1930219518305298,1.4492997648622021,3
MUSE,1,H,,"(0.5, 0.6, 0.7)",s0,0.29066374838803805,0.046287265373190015,1.8458109261298978,0.24437648301484804,2.136474674517936,3
MUSE,1,O,,"(0.5, 0.6, 0.7)",sig2,7.538439251693423,1.3367809889676474,1.0624010907257224,6.2016582627257755,8.600840342419145,3
MUSE,1,O,,"(0.5, 0.6, 0.7)",r0,0.06230848949457076,0.015490119121952153,0.012236654095146939,0.04681837037261861,0.0745451435897177,3
MUSE,1,O,,"(0.5, 0.6, 0.7)",m,1.1905050119042502,0.10579824118738435,0.2430166025228513,1.0847067707168658,1.4335216144271015,3
MUSE,1,O,,"(0.5, 0.6, 0.7)",noise,2.250797271786356,0.10323299043109646,0.33349425223862506,2.1475642813552596,2.584291524024981,3
MUSE,1,O,,"(0.5, 0.6, 0.7)",s0,0.2945837721510543,0.058794964012758244,2.893558006347935,0.23578880813829606,3.1881417784989896,3
MUSE,2,N,,"(0.5, 0.6, 0.7)",sig2,8.85450743577954,0.783554782071052,0.567263494402642,8.070952653708488,9.421770930182182,3
MUSE,2,N,,"(0.5, 0.6, 0.7)",r0,0.0557020173946596,0.008132288901007693,0.006227256057412818,0.04756972849365191,0.06192927345207242,3
MUSE,2,N,,"(0.5, 0.6, 0.7)",m,0.9296097250870856,0.046250275329742574,0.08264262314458759,0.883359449757343,1.0122523482316732,3
MUSE,2,N,,"(0.5, 0.6, 0.7)",noise,0.7276889938968648,0.18682374432470739,0.30781647478250684,0.5408652495721574,1.0355054686793717,3
MUSE,2,N,,"(0.5, 0.6, 0.7)",s0,0.6428170278733003,0.3769387750894009,1.0838185715889528,0.2658782527838994,1.726635599462253,3
MUSE,2,S2,,"(0.5, 0.6, 0.7)",sig2,9.525999890943607,1.195054057257357,0.7283107442358752,8.33094583368625,10.254310635179483,3
MUSE,2,S2,,"(0.5, 0.6, 0.7)",r0,0.06447737841915684,0.011741761734043246,0.007160331413930687,0.05273561668511359,0.07163770983308752,3
MUSE,2,S2,,"(0.5, 0.6, 0.7)",m,1.1274486929388212,0.05104982508319145,0.12786546224093653,1.0763988678556298,1.2553141551797578,3
MUSE,2,S2,,"(0.5, 0.6, 0.7)",noise,0.6648535968707585,0.08416397437939127,0.27605370952517694,0.5806896224913672,0.9409073063959354,3
MUSE,2,S2,,"(0.5, 0.6, 0.7)",s0,0.4930540426754168,0.23700352963484575,1.9518751451685563,0.256050513040571,2.444929187843973,3
