group,bin,line,fit_limit,fit_limits_used,selection_mode,parameter,value,err_lower,err_upper,lower_limit,upper_limit,n_samples
MUSE,0,N,0.5,"(0.5,)",single,sig2,9.207836933312898,0.2991627309699041,0.34376685633326254,8.908674202342993,9.55160378964616,1
MUSE,0,N,0.5,"(0.5,)",single,r0,0.061487468355164075,0.0033693439174259446,0.004530795329276853,0.05811812443773813,0.06601826368444093,1
MUSE,0,N,0.5,"(0.5,)",single,m,0.8836993930471434,0.02706951941452984,0.030241200531744172,0.8566298736326136,0.9139405935788876,1
MUSE,0,N,0.5,"(0.5,)",single,noise,3.9489151525394597,0.05294991337849719,0.11698803868389973,3.8959652391609625,4.065903191223359,1
MUSE,0,N,0.5,"(0.5,)",single,s0,0.23500000003561192,0.0,0.2770709862946956,0.23500000003561192,0.5120709863303076,1
MUSE,0,S2,0.5,"(0.5,)",single,sig2,9.736010418474104,0.2602638502426977,0.3123403005851557,9.475746568231406,10.04835071905926,1
MUSE,0,S2,0.5,"(0.5,)",single,r0,0.07091555943628146,0.0030104203298814136,0.003667929493168756,0.06790513910640004,0.07458348892945021,1
MUSE,0,S2,0.5,"(0.5,)",single,m,1.1021907009605285,0.029609641393871344,0.030569356360893085,1.0725810595666572,1.1327600573214216,1
MUSE,0,S2,0.5,"(0.5,)",single,noise,3.194414027507934,0.03755803965612259,0.07079781949456221,3.156855987851811,3.265211847002496,1
MUSE,0,S2,0.5,"(0.5,)",single,s0,0.23500000011546068,0.0,0.4028759206395851,0.23500000011546068,0.6378759207550457,1
MUSE,0,Ar,0.5,"(0.5,)",single,sig2,8.527577194145055,0.29784992213160066,0.5282104422324299,8.229727272013454,9.055787636377485,1
MUSE,0,Ar,0.5,"(0.5,)",single,r0,0.07143101905682336,0.004102006175257147,0.006157821369830077,0.06732901288156622,0.07758884042665344,1
MUSE,0,Ar,0.5,"(0.5,)",single,m,1.0988834289081955,0.06716521820473442,0.05579624270811889,1.031718210703461,1.1546796716163144,1
MUSE,0,Ar,0.5,"(0.5,)",single,noise,10.798402316723127,0.07746455463034252,0.22534135331864213,10.720937762092785,11.02374367004177,1
MUSE,0,Ar,0.5,"(0.5,)",single,s0,0.23500000167192883,0.0,2.675987730092848,0.23500000167192883,2.9109877317647768,1
MUSE,0,H,0.5,"(0.5,)",single,sig2,8.884553416097566,0.3104966546054868,0.39883674934301183,8.574056761492079,9.283390165440577,1
MUSE,0,H,0.5,"(0.5,)",single,r0,0.07230020710919118,0.0039082703638902705,0.005180400885496414,0.0683919367453009,0.07748060799468759,1
MUSE,0,H,0.5,"(0.5,)",single,m,1.1284366526042444,0.04180366007646086,0.04120734073613175,1.0866329925277836,1.1696439933403762,1
MUSE,0,H,0.5,"(0.5,)",single,noise,2.614908950614742,0.044328238447143065,0.07570107792072633,2.5705807121675988,2.690610028535468,1
MUSE,0,H,0.5,"(0.5,)",single,s0,0.2350000159606743,0.0,0.5235102057879647,0.2350000159606743,0.758510221748639,1
MUSE,0,O,0.5,"(0.5,)",single,sig2,8.049376483267803,0.2962076890896572,0.41144394485427505,7.753168794178146,8.460820428122078,1
MUSE,0,O,0.5,"(0.5,)",single,r0,0.07034470183674986,0.0040520458291193745,0.005576628001997375,0.06629265600763048,0.07592132983874723,1
MUSE,0,O,0.5,"(0.5,)",single,m,1.1262526578925258,0.05713261267236769,0.05683447008170739,1.0691200452201581,1.1830871279742332,1
MUSE,0,O,0.5,"(0.5,)",single,noise,5.346903827124418,0.07026015303460031,0.12207628764652956,5.276643674089818,5.468980114770948,1
MUSE,0,O,0.5,"(0.5,)",single,s0,0.23500004424432197,0.0,0.9202080120322886,0.23500004424432197,1.1552080562766105,1
MUSE,1,N,0.5,"(0.5,)",single,sig2,9.165830831349034,0.22310505460078822,0.27139189356719484,8.942725776748246,9.437222724916229,1
MUSE,1,N,0.5,"(0.5,)",single,r0,0.05965082233415169,0.002535090058771186,0.0033489268580226897,0.057115732275380506,0.06299974919217438,1
MUSE,1,N,0.5,"(0.5,)",single,m,0.903995306103607,0.023290865479094647,0.021547047534058117,0.8807044406245124,0.9255423536376651,1
MUSE,1,N,0.5,"(0.5,)",single,noise,1.5975216607510796,0.08850206068990185,0.12570602045182433,1.5090196000611777,1.723227681202904,1
MUSE,1,N,0.5,"(0.5,)",single,s0,0.4364628932434221,0.18662055682308518,0.419238507944883,0.2498423364203369,0.8557014011883051,1
MUSE,1,S2,0.5,"(0.5,)",single,sig2,9.897626259838251,0.19648400278593137,0.23502488540797728,9.70114225705232,10.132651145246228,1
MUSE,1,S2,0.5,"(0.5,)",single,r0,0.06990456400500546,0.0021609383951210204,0.0026397425715160433,0.06774362560988444,0.0725443065765215,1
MUSE,1,S2,0.5,"(0.5,)",single,m,1.103642759711281,0.020230977979414977,0.020564153886268643,1.083411781731866,1.1242069135975497,1
MUSE,1,S2,0.5,"(0.5,)",single,noise,1.3623707830795833,0.028993399291728172,0.06463731982268683,1.333377383787855,1.42700810290227,1
MUSE,1,S2,0.5,"(0.5,)",single,s0,0.3030580128693976,0.0599299208177909,0.4126586462692047,0.24312809205160668,0.7157166591386023,1
MUSE,1,Ar,0.5,"(0.5,)",single,sig2,9.002145164618717,0.2091784084088637,0.29436623230516545,8.792966756209854,9.296511396923883,1
MUSE,1,Ar,0.5,"(0.5,)",single,r0,0.06663375404905288,0.0024260112806334805,0.0032301984527704775,0.0642077427684194,0.06986395250182335,1
MUSE,1,Ar,0.5,"(0.5,)",single,m,1.1004721965761628,0.0336641537041511,0.035541198303739696,1.0668080428720117,1.1360133948799025,1
MUSE,1,Ar,0.5,"(0.5,)",single,noise,4.111817428824421,0.043393036919995964,0.17272129183957396,4.068424391904425,4.284538720663995,1
MUSE,1,Ar,0.5,"(0.5,)",single,s0,0.23500001215249441,0.0,1.2987395989509114,0.23500001215249441,1.5337396111034058,1
MUSE,1,H,0.5,"(0.5,)",single,sig2,8.878701804587767,0.21613918359920348,0.2717915267193174,8.662562620988563,9.150493331307084,1
MUSE,1,H,0.5,"(0.5,)",single,r0,0.07162270769379309,0.0026695421542033415,0.0033496784561377196,0.06895316553958974,0.0749723861499308,1
MUSE,1,H,0.5,"(0.5,)",single,m,1.1467544843772681,0.027303741654672198,0.02638028246058699,1.119450742722596,1.1731347668378551,1
MUSE,1,H,0.5,"(0.5,)",single,noise,1.2227529358567184,0.029730984026188567,0.06306191686950013,1.1930219518305298,1.2858148527262185,1
MUSE,1,H,0.5,"(0.5,)",single,s0,0.30450358998839117,0.060127106973543135,0.5172258850623987,0.24437648301484804,0.82172947505079,1
MUSE,1,O,0.5,"(0.5,)",single,sig2,8.248011293179939,0.26873521830930613,0.3528290492392063,7.979276074870633,8.600840342419145,1
MUSE,1,O,0.5,"(0.5,)",single,r0,0.06992792616167816,0.003485002379093327,0.004617217428039541,0.06644292378258483,0.0745451435897177,1
MUSE,1,O,0.5,"(0.5,)",single,m,1.1292545835071781,0.04454781279031228,0.043364150202102936,1.0847067707168658,1.172618733709281,1
MUSE,1,O,0.5,"(0.5,)",single,noise,2.2073112201367096,0.057580782370840744,0.1019816524738899,2.149730437765869,2.3092928726105995,1
MUSE,1,O,0.5,"(0.5,)",single,s0,0.32941668531758217,0.08169048100706673,0.7682109275635699,0.24772620431051545,1.0976276128811522,1
MUSE,2,N,0.5,"(0.5,)",single,sig2,9.154166228813,0.20672290958939854,0.2676047013691818,8.947443319223602,9.421770930182182,1
MUSE,2,N,0.5,"(0.5,)",single,r0,0.0587673957753326,0.0023452440415725334,0.0031618776767398243,0.05642215173376006,0.06192927345207242,1
MUSE,2,N,0.5,"(0.5,)",single,m,0.9087801325182185,0.0254206827608755,0.01969891833509363,0.883359449757343,0.9284790508533122,1
MUSE,2,N,0.5,"(0.5,)",single,noise,0.6953612441344186,0.15449599456226115,0.16772048317278188,0.5408652495721574,0.8630817273072005,1
MUSE,2,N,0.5,"(0.5,)",single,s0,0.645172687536027,0.37929443475212754,0.616769585081,0.2658782527838994,1.261942272617027,1
MUSE,2,S2,0.5,"(0.5,)",single,sig2,10.024960383470098,0.19079300967818114,0.22935025170938417,9.834167373791917,10.254310635179483,1
MUSE,2,S2,0.5,"(0.5,)",single,r0,0.0691624104162872,0.0020248683877376883,0.0024752994168003167,0.06713754202854952,0.07163770983308752,1
MUSE,2,S2,0.5,"(0.5,)",single,m,1.0965399821398543,0.020141114284224493,0.018246377678571735,1.0763988678556298,1.114786359818426,1
MUSE,2,S2,0.5,"(0.5,)",single,noise,0.6366116592503243,0.05592203675895702,0.08877350472222201,0.5806896224913672,0.7253851639725463,1
MUSE,2,S2,0.5,"(0.5,)",single,s0,0.5120955865611839,0.25580259702947905,0.5859749846224837,0.2562929895317049,1.0980705711836676,1
MUSE,2,Ar,0.5,"(0.5,)",single,sig2,9.400175777726634,0.19900739407106371,0.2524764211100514,9.20116838365557,9.652652198836686,1
MUSE,2,Ar,0.5,"(0.5,)",single,r0,0.06490612037760371,0.002129148168159442,0.0027335718856551228,0.06277697220944427,0.06763969226325883,1
MUSE,2,Ar,0.5,"(0.5,)",single,m,1.0588871823687747,0.027152836143199854,0.025379357878771547,1.0317343462255748,1.0842665402475462,1
MUSE,2,Ar,0.5,"(0.5,)",single,noise,1.5641734169167987,0.08276049395531548,0.14998611483161595,1.4814129229614832,1.7141595317484146,1
MUSE,2,Ar,0.5,"(0.5,)",single,s0,0.5377842371524089,0.2777945027383269,0.8674838877257438,0.25998973441408196,1.4052681248781527,1
MUSE,2,H,0.5,"(0.5,)",single,sig2,8.860705020251343,0.20524382864492452,0.2553876391723158,8.655461191606419,9.116092659423659,1
MUSE,2,H,0.5,"(0.5,)",single,r0,0.07125178642759021,0.0024701891101937684,0.0030591539026548764,0.06878159731739644,0.07431094033024509,1
MUSE,2,H,0.5,"(0.5,)",single,m,1.1573750401333807,0.025795757876644343,0.024007413983087256,1.1315792822567363,1.181382454116468,1
MUSE,2,H,0.5,"(0.5,)",single,noise,0.5496823746224165,0.04146889037098345,0.07228869828200357,0.5082134842514331,0.6219710729044201,1
MUSE,2,H,0.5,"(0.5,)",single,s0,0.4570519312954847,0.2051803697992523,0.6467021831775521,0.2518715614962324,1.1037541144730367,1
MUSE,2,O,0.5,"(0.5,)",single,sig2,8.368943385731967,0.30383400260660487,0.40370753915876634,8.065109383125362,8.772650924890733,1
MUSE,2,O,0.5,"(0.5,)",single,r0,0.07034406203039674,0.003832444121156159,0.00523298794533443,0.06651161790924058,0.07557704997573117,1
MUSE,2,O,0.5,"(0.5,)",single,m,1.115329369542749,0.04479586929278834,0.04122336571180152,1.0705335002499607,1.1565527352545506,1
MUSE,2,O,0.5,"(0.5,)",single,noise,0.8511472953985662,0.07470076518894375,0.1108498455044995,0.7764465302096224,0.9619971409030657,1
MUSE,2,O,0.5,"(0.5,)",single,s0,0.49464819820071615,0.2389890567200013,0.8291114719426983,0.25565914148071484,1.3237596701434144,1
MUSE,3,N,0.5,"(0.5,)",single,sig2,9.070110950138476,0.2005336300298115,0.3226218753459502,8.869577320108665,9.392732825484426,1
MUSE,3,N,0.5,"(0.5,)",single,r0,0.05803122757227541,0.0026100309330489013,0.00307106424756972,0.05542119663922651,0.06110229181984513,1
MUSE,3,N,0.5,"(0.5,)",single,m,0.935898599658882,0.03994241655035635,0.021909307163143654,0.8959561831085257,0.9578079068220257,1
MUSE,3,N,0.5,"(0.5,)",single,noise,0.4210150094199549,0.39497341618083665,0.22205189086942717,0.026041593239118255,0.6430669002893821,1
MUSE,3,N,0.5,"(0.5,)",single,s0,1.6974992668176652,1.346602948027068,1.3635480791569858,0.35089631879059713,3.061047345974651,1
MUSE,3,S2,0.5,"(0.5,)",single,sig2,10.102354325112156,0.1867815009260969,0.29682438040436665,9.915572824186059,10.399178705516523,1
MUSE,3,S2,0.5,"(0.5,)",single,r0,0.06709271729836054,0.0019058813326602309,0.002498733103755993,0.06518683596570031,0.06959145040211653,1
MUSE,3,S2,0.5,"(0.5,)",single,m,1.1079513652546937,0.0317060156078961,0.01996093191934345,1.0762453496467976,1.1279122971740372,1
MUSE,3,S2,0.5,"(0.5,)",single,noise,0.3624123876574969,0.14022212966692538,0.20524283789786707,0.22219025799057152,0.567655225555364,1
MUSE,3,S2,0.5,"(0.5,)",single,s0,1.0007686838275411,0.7151402385132741,1.587995778418311,0.285628445314267,2.588764462245852,1
MUSE,3,Ar,0.5,"(0.5,)",single,sig2,9.805719061449413,0.21604337380679794,0.30338519252363483,9.589675687642615,10.109104253973047,1
MUSE,3,Ar,0.5,"(0.5,)",single,r0,0.061860601775805775,0.002122185479935139,0.002820985833397717,0.059738416295870636,0.06468158760920349,1
MUSE,3,Ar,0.5,"(0.5,)",single,m,1.0134967122835068,0.03499959931582419,0.027103741967895667,0.9784971129676826,1.0406004542514025,1
MUSE,3,Ar,0.5,"(0.5,)",single,noise,1.004325985598872,0.21321085386864203,0.30072805173303707,0.79111513173023,1.305054037331909,1
MUSE,3,Ar,0.5,"(0.5,)",single,s0,0.9842176212898905,0.694254696607016,1.5657495527370804,0.28996292468287455,2.549967174026971,1
MUSE,3,H,0.5,"(0.5,)",single,sig2,8.712281914389592,0.1473569444854359,0.21008414161598665,8.564924969904157,8.922366056005579,1
MUSE,3,H,0.5,"(0.5,)",single,r0,0.06983523284478547,0.0017193522857455873,0.002062821571523793,0.06811588055903989,0.07189805441630927,1
MUSE,3,H,0.5,"(0.5,)",single,m,1.1977723677795196,0.025597842060587128,0.020465472552144037,1.1721745257189324,1.2182378403316636,1
MUSE,3,H,0.5,"(0.5,)",single,noise,0.33003332690927634,0.06700269740482723,0.12474500557613871,0.2630306295044491,0.45477833248541505,1
MUSE,3,H,0.5,"(0.5,)",single,s0,0.7797656183302333,0.5064925236755442,1.2979246983578865,0.2732730946546891,2.0776903166881198,1
MUSE,3,O,0.5,"(0.5,)",single,sig2,8.149826968308503,0.26181555253936484,0.39824123331851524,7.888011415769138,8.548068201627018,1
MUSE,3,O,0.5,"(0.5,)",single,r0,0.06867139620688707,0.0032735229345385863,0.00441297353455028,0.06539787327234849,0.07308436974143735,1
MUSE,3,O,0.5,"(0.5,)",single,m,1.1750270865811538,0.05547102576953278,0.04394492662813376,1.119556060811621,1.2189720132092876,1
MUSE,3,O,0.5,"(0.5,)",single,noise,0.5238323949989284,0.10379207498712806,0.1909296055438775,0.42004032001180036,0.7147620005428059,1
MUSE,3,O,0.5,"(0.5,)",single,s0,0.7724692633454432,0.4910614505201956,2.0193556001742947,0.28140781282524757,2.791824863519738,1
MUSE,4,N,0.5,"(0.5,)",single,sig2,9.04296755986189,0.3055808261193622,0.24190079443075696,8.737386733742527,9.284868354292646,1
MUSE,4,N,0.5,"(0.5,)",single,r0,0.057110393064507235,0.002249636802799819,0.0023906458633254565,0.054860756261707416,0.05950103892783269,1
MUSE,4,N,0.5,"(0.5,)",single,m,0.9592792091415308,0.03635528218482542,0.04758590815331898,0.9229239269567053,1.0068651172948497,1
MUSE,4,N,0.5,"(0.5,)",single,noise,0.43305034567406697,0.41616009553105415,0.0626241068405059,0.01689025014301282,0.49567445251457287,1
MUSE,4,N,0.5,"(0.5,)",single,s0,3.5249999999920787,2.0622663844253952,0.0,1.4627336155666835,3.5249999999920787,1
